打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.25,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5
Nighter,0.16,10,27,25,2,4,0,0,2,10,7,6,1,0,0,0,1,0,0,0,0.185,0.4,0.585
