種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,0.0,2,0,2,0,0,0,0,0,0,0,0,3.0,1,0,5,2,0,0,0,1.0,0.111,-,99.0
Nighter,2.57,5,0,5,1,1,0,0,1,1,1,1,7.0,6,1,11,2,0,3,2,1.14,0.222,-,2.33
